text,category
I want assistance canceling purchase {{Order Number}},General
would it be possible to cancel purchase {{Order Number}},General
could you help me canceling purchase {{Order Number}}?,General
I want help to cancel purchase {{Order Number}},General
help with cancelling purchase {{Order Number}},General
assistance with canceling purchase {{Order Number}},General
cance order {{Order Number}},General
can uhelp me cancelling purchase {{Order Number}},General
how could icancel purchase {{Order Number}},General
i need assistance canceling order {{Order Number}},General
i do not knwo how to cancel order {{Order Number}},General
"I have ordered some article, cancel purchase {{Order Number}}",General
need to cancel purchase {{Order Number}},General
have problems with canceling purchase {{Order Number}},General
i no longer want purchase  {{Order Number}},General
want help to cancel purchase {{Order Number}},General
question about canceling order {{Order Number}},General
is it possible to cancel purchase {{Order Number}} ?,General
have a question about cancelling order {{Order Number}},General
I need assistance to cancel purchase {{Order Number}},General
I need assistance cancelling purchase {{Order Number}},General
help with canceling purchase {{Order Number}},General
I need help with canceling purchase {{Order Number}},General
iwant assistance canceling order {{Order Number}},General
have problems with canceling order  {{Order Number}},General
i wan help to cancel purchase {{Order Number}},General
i need help cancelling puchase {{Order Number}},General
I can no longer afford order {{Order Number}},General
"I have got to cancel purchase {{Order Number}}, how do I do it?",General
i need help with canceling order {{Order Number}},General
cancel purchase {{Order Number}},General
assistance with canceling oreder {{Order Number}},General
problems with cancelling purchase {{Order Number}},General
is it possible to cancel purchase {{Order Number}},General
I need assistance cancelling purchase {{Order Number}},General
i do not know how to cancel order {{Order Number}},General
I no longer want purchase {{Order Number}},General
can you help me cancelling purchase {{Order Number}}?,General
assistance cancelling purchase {{Order Number}},General
I need help cancelling purchase {{Order Number}},General
I don't want purchase {{Order Number}},General
"I bought some items, I need help to cancel purchase {{Order Number}}",General
could you help me cancel purchase {{Order Number}}?,General
cancel purchase {{Order Number}},General
problem with cancelling purchase {{Order Number}},General
cancel purchase {{Order Number}},General
where do i cancel purchase {{Order Number}},General
need help with cancelliing order {{Order Number}},General
I have problems with canceling purchase {{Order Number}},General
is it possible to cancel order {{Order Number}}?,General
i havegot to cancel purchase {{Order Number}},General
"I cannot pay for this product, cancel order {{Order Number}}",General
I don't know how I can cancel purchase {{Order Number}},General
help cancelling purchase {{Order Number}},General
would you give me information about cancelling orders?,General
I need assistance with canceling purchase {{Order Number}},General
canceling purchase {{Order Number}},General
"I can't afford my last item, cancel purchase {{Order Number}}",General
I cannot afford order {{Order Number}},General
have problems with canceling purchase {{Order Number}},General
I have a problem with canceling purchase {{Order Number}},General
question about canceling purchase {{Order Number}},General
I have got to cancel purchase {{Order Number}},General
"I can't afford order {{Order Number}}, could I cancel it?",General
i dont know how to cancel purchase {{Order Number}},General
"I don't want this item, help me cancel purchase {{Order Number}}",General
i need assistance with canceling order {{Order Number}},General
have a problem with cancelling purchase {{Order Number}},General
"I can't afford this product, cancel order {{Order Number}}",General
cancel purchase  {{Order Number}},General
could you help me canceling purchase {{Order Number}}?,General
i try to cancel order {{Order Number}},General
can you help me cancelling order {{Order Number}}?,General
what do I ned to do to cancel order {{Order Number}}?,General
i need help to cancel purchase {{Order Number}},General
"I have bought some items, help canceling purchase {{Order Number}}",General
I need assistance canceling order {{Order Number}},General
I can't afford purchase {{Order Number}},General
assistance with canceling purchase {{Order Number}},General
canmcel order {{Order Number}},General
help with canceling purchase {{Order Number}},General
I need help to cancel purchase {{Order Number}},General
i can no longer afford order {{Order Number}},General
I can no longer pay for order {{Order Number}},General
i have problems with canceling order {{Order Number}},General
I have problems with cancelling order {{Order Number}},General
"I purchased some item, help canceling one of the orders",General
I need helpto cancel order {{Order Number}},General
camceling order {{Order Number}},General
i purchased some fucking item cancel order {{Order Number}},General
want assistance to cancel pyrchase {{Order Number}},General
i need assistance to cancel order {{Order Number}},General
i need help with canceling order {{Order Number}},General
cancelling order {{Order Number}},General
"I have ordered some item, cancel purchase {{Order Number}}",General
i can no longer pay for purchase {{Order Number}},General
I need assistance canceling purchase {{Order Number}},General
"I do not want this item, cancel order {{Order Number}}",General
i need assistance cancelling purchase {{Order Number}},General
ened help with cancelling purchase {{Order Number}},General
I need assistance cancelling order {{Order Number}},General
can ya help me cancel purchase {{Order Number}},General
want assistance cancelling purchase {{Order Number}},General
need help with canceling order {{Order Number}},General
I can no longer pay for purchase {{Order Number}},General
want assistance canceling order {{Order Number}},General
is it possible to cancel purchase {{Order Number}}?,General
cance order {{Order Number}},General
assistance canceling purchase {{Order Number}},General
what do I need to do to cancel purchase {{Order Number}}?,General
I want help cancelling purchase {{Order Number}},General
i have a problem with cancelling order {{Order Number}},General
i cant pay for order {{Order Number}},General
can you help me cancelling order {{Order Number}}?,General
I need help to cancel purchase {{Order Number}},General
I have a problem with cancelling purchase {{Order Number}},General
canceling purechase {{Order Number}},General
I need help cancelling order {{Order Number}},General
I dp not know how to cancel order {{Order Number}},General
what do I need to do to cancel order {{Order Number}}?,General
i dont know what to do to cancel order {{Order Number}},General
cancel order {{Order Number}},General
is it possible to cancel purchase {{Order Number}},General
I am trying to cancel order {{Order Number}},General
I need help with cancellng order {{Order Number}},General
help canceling purchase {{Order Number}},General
I want help cancelling purchase {{Order Number}},General
I want help cancellkng purchase {{Order Number}},General
"I can't afford order {{Order Number}}, help me cancelling it",General
I need assistance to cancel order {{Order Number}},General
I have a problem with cancelling order {{Order Number}},General
assistance canceling the last order,General
assistance to cancel order {{Order Number}},General
"I don't want this product, cancel purchase {{Order Number}}",General
assistance cancelling purchase {{Order Number}},General
I cannot afford order {{Order Number}},General
problems with cancelling order {{Order Number}},General
need help canceling purchase {{Order Number}},General
i can no longer afford purchase {{Order Number}},General
I need help with canceling purchase {{Order Number}},General
how could I cancel purchase {{Order Number}}?,General
i want help canceling purchase {{Order Number}},General
asistance cancelling purchase {{Order Number}},General
I need assistance to cancel order {{Order Number}},General
i need help cancelling purchase {{Order Number}},General
I do not know what to do tro cancel order {{Order Number}},General
I need assistance canceling purchase {{Order Number}},General
cancelling purchase {{Order Number}},General
want help cancelling purchase {{Order Number}},General
help with canceling purchase {{Order Number}},General
I don't know how I colud cancel order {{Order Number}},General
where can i cancel purchase {{Order Number}},General
help me cancel purchase {{Order Number}},General
can you help me cancelong purchase {{Order Number}}?,General
i dont know what to do to cancel purchase {{Order Number}},General
i have problems with canceling order {{Order Number}},General
I want to cancel order {{Order Number}},General
"I can't afford order {{Order Number}}, could you cancel it?",General
i want assistance cancelling order {{Order Number}},General
i want help to cancel order {{Order Number}},General
what do I need to do to cancel purchase {{Order Number}}?,General
i want help cancelling order {{Order Number}},General
I do not know how to cancel purchase {{Order Number}},General
"I cannot afford my last item, how can I cancel the order?",General
"I don't want this item, cancel order {{Order Number}}",General
I no longer want order {{Order Number}},General
can you help me to cancel order {{Order Number}}?,General
cancelling order {{Order Number}},General
"I do not want this item, I try to cancel order {{Order Number}}",General
what do I have to do to cancel order {{Order Number}}?,General
I can no longer afford order {{Order Number}},General
I need help canceling order {{Order Number}},General
I have problems with canceling purchase {{Order Number}},General
i want help canceling order {{Order Number}},General
help with canceling purchase {{Order Number}},General
I don't know how to cancel purchase {{Order Number}},General
"I do not want my last bloody item, cancel order {{Order Number}}",General
can ya help me to cancel order {{Order Number}},General
i dont want order {{Order Number}},General
could you help me to cancel purchase {{Order Number}}?,General
have problems wth cancelling order {{Order Number}},General
I need help with cancelling purchase {{Order Number}},General
i dont want this artilce cancel order {{Order Number}},General
I cannot afford order {{Order Number}},General
need help with canceling purchase {{Order Number}},General
I try to cancel purchase {{Order Number}},General
"I bought some article, help canceling order {{Order Number}}",General
can you help me cancelling oredr {{Order Number}}?,General
help  with cancelling order {{Order Number}},General
assistance to cancel purchase {{Order Number}},General
help to cancel purchase {{Order Number}},General
can you help me cancelling order {{Order Number}}?,General
i dont want purchase {{Order Number}},General
canmcel order {{Order Number}},General
help cancelling my bloody purchase,General
assistance cancelling purchase {{Order Number}},General
can you help me to cancel order {{Order Number}} ?,General
I need assistance with canceling purchase {{Order Number}},General
is it possible to cancel purchase {{Order Number}},General
canceling order,General
problems with cancelling order {{Order Number}},General
what do I have to do to cancel purchase {{Order Number}}?,General
I need assistance canceling purchase {{Order Number}},General
I want help cancelling purchase {{Order Number}},General
i want help canceling order {{Order Number}},General
I want assistance to cancle purchase {{Order Number}},General
i do not know how to cancel purchasw {{Order Number}},General
question about cancelling purchase {{Order Number}},General
help me cancel purchase {{Order Number}},General
i dont want purchase {{Order Number}} could i cancel it,General
i obught some item help me canceling order {{Order Number}},General
I'm trying to cancel purchase {{Order Number}},General
problems with canceling purchase {{Order Number}},General
cancelling order {{Order Number}},General
canceling purchase {{Order Number}},General
i dont khow how to cancel order {{Order Number}},General
I need assistance cancelling order {{Order Number}},General
how can I cancel purchase {{Order Number}}?,General
I can no longer afford purchase {{Order Number}},General
I want help to cancle purchase {{Order Number}},General
I can't afford order {{Order Number}},General
canmcel order {{Order Number}},General
help me canceling purchase {{Order Number}},General
I try to cancel purchase {{Order Number}},General
I don't want purchase {{Order Number}},General
I need help with cancelling purchase {{Order Number}},General
I have got to cancel purcahse {{Order Number}},General
help me to cancel purchase {{Order Number}},General
I need help cancelling oredr {{Order Number}},General
help me canceling purchase {{Order Number}},General
i want help canceling order {{Order Number}},General
I need help to cancel order {{Order Number}},General
I want assistance to cancel purchase {{Order Number}},General
I don't know how I can cancel purchase {{Order Number}},General
cance order {{Order Number}},General
problems with cancelling purchase {{Order Number}},General
need assistance to cancel order {{Order Number}},General
I no longerr want purchase {{Order Number}},General
I need assistance canceling order {{Order Number}},General
i have to cancel purchase {{Order Number}},General
i dont want order {{Order Number}},General
I need help canceling purchase {{Order Number}},General
i do not know how i can cancel order {{Order Number}},General
canceling purchase {{Order Number}},General
I want assistance canceling purchase {{Order Number}},General
assistance with cancelling purchase {{Order Number}},General
problem witth cancelling order {{Order Number}},General
I want assistance to cancel purchase {{Order Number}},General
"I bought some items, help canceling order {{Order Number}}",General
I need assistance with cancelling order {{Order Number}},General
I need assistance cancelling purcjase {{Order Number}},General
i dont want order {{Order Number}},General
I can no longer afford purchase {{Order Number}},General
what do i need to do to cancel order {{Order Number}},General
I need assistance canceling purchase {{Order Number}},General
i need assistance with canceling order {{Order Number}},General
I can't pay for purchase {{Order Number}},General
I do not want purchase {{Order Number}},General
cancel purchase732201349959,General
I do not know how I can cancel purchase {{Order Number}},General
need help with canceling purchase {{Order Number}},General
I can no longer pay for purchase {{Order Number}},General
I need help to cancel purchase370795561790,General
I do not know how I can cancel purchase {{Order Number}},General
I need help canceling purchase {{Order Number}},General
what do I need to do to cancel purchase {{Order Number}}?,General
want assistance cancelling order {{Order Number}},General
want help cancelling purchase {{Order Number}},General
help to cancel purchase {{Order Number}},General
"I can't pay for purchase {{Order Number}}, how can I cancel it?",General
want assistance canceling purchase {{Order Number}},General
I don't know how to cancel purchase {{Order Number}},General
i dont want ordr {{Order Number}} could uhelp me cancel it,General
"I cannot afford order {{Order Number}}, I need help canceling it",General
want assistance canceling purchase {{Order Number}},General
i do not know how to cancel order {{Order Number}},General
I want help canceling order {{Order Number}},General
where can I cancel purchase {{Order Number}}?,General
I need help cancelling purchase {{Order Number}},General
I need assistance to cancel purchase {{Order Number}},General
can you help me cancel purchase {{Order Number}}?,General
I'm trying to cancel order {{Order Number}},General
i dont know what to do to cancel purchase {{Order Number}},General
I need help cancelling purchase {{Order Number}},General
i can no longer pay fororder {{Order Number}} cancel it,General
I don't knowhow to cancel purchase {{Order Number}},General
I do not know how I could cancel purchase {{Order Number}},General
i do not know how i can cancel order {{Order Number}},General
I don't know what to do to cancel purchase {{Order Number}},General
cance order {{Order Number}},General
where can I cancel purchase {{Order Number}}?,General
assistance with cancelling purchase {{Order Number}},General
i want assistance to cancel order {{Order Number}},General
I want assistance cancelling order {{Order Number}},General
i dont khow how to cancel order {{Order Number}},General
i need assistance to cancel order {{Order Number}},General
problems with canceling purchase {{Order Number}},General
canceling order {{Order Number}},General
"I can't pay for this item, cancel order {{Order Number}}",General
camceling order {{Order Number}},General
question about canceling order {{Order Number}},General
help me cancel purchase {{Order Number}},General
want assistance cancelling order {{Order Number}},General
want asistance canceling order {{Order Number}},General
i need assiostance cancelling order {{Order Number}},General
cancelling purchase {{Order Number}},General
I am trying to cancel purchaes {{Order Number}},General
i need help canceling order {{Order Number}},General
what do I need to do to cancel purchase {{Order Number}}?,General
help with cancelling purchase {{Order Number}},General
"I bought some item, cancel order {{Order Number}}",General
I need help with canceling purchase {{Order Number}},General
could you help me cancel purchase {{Order Number}}?,General
what do i need to do to cancel order {{Order Number}},General
canceling purchase {{Order Number}},General
I do not know how I can cancel purchase {{Order Number}},General
I have problems with cancelling purchase {{Order Number}},General
ohw to cancel order {{Order Number}},General
is it possible to cxancel order {{Order Number}},General
i have problems with cancelling purchase {{Order Number}},General
where do I cancel purchase {{Order Number}}?,General
I have an question about cancelling order {{Order Number}},General
I would like to cancel purchase {{Order Number}},General
assistance canceling purchase {{Order Number}},General
I want help to cancel purchase {{Order Number}},General
I am trying to cancel purchase {{Order Number}},General
cancelling purchase {{Order Number}},General
can you help me cancelling purchase {{Order Number}}?,General
i need assistance cancelling purchase {{Order Number}},General
camceling order {{Order Number}},General
need assistance canceling order {{Order Number}},General
help me cancel purchase {{Order Number}},General
problems with cancelling purchase {{Order Number}},General
i need assistance with canceling purchase {{Order Number}},General
help me to cancel order  {{Order Number}},General
I can no longer afford order {{Order Number}},General
i do not know what to do to cancel order {{Order Number}},General
i no longer want order {{Order Number}},General
I want assistance canceling order {{Order Number}},General
problem with canceling purchase {{Order Number}},General
"I no longer want order {{Order Number}}, how do I cancel it?",General
I cannot afford purchase {{Order Number}},General
I don't want purchase {{Order Number}},General
"I purchased some items, I want to cancel order {{Order Number}}",General
question about cancelling purchase {{Order Number}},General
I have a question about canceling purchase {{Order Number}},General
need help to cancel purchase {{Order Number}},General
i do not know how i could casncel order {{Order Number}},General
need help with canceling purchase {{Order Number}},General
I can't afford order {{Order Number}},General
what do I ned to do to cancel order {{Order Number}}?,General
i dont want order {{Order Number}} could i cancel it,General
have a question about canceling order {{Order Number}},General
I cannot afford order {{Order Number}},General
I need help canceling purchase {{Order Number}},General
question about canceling purchase {{Order Number}},General
"I doln't want order {{Order Number}}, can you cancel it?",General
i bought something i wanna cancel order {{Order Number}},General
help me canceling purchase {{Order Number}},General
I want help to cancle purchase {{Order Number}},General
what do i need to do to cancel order {{Order Number}},General
I try to cancel purchase {{Order Number}},General
"I can no longer afford order {{Order Number}}, can I cancel it?",General
i want help to cancel purchase {{Order Number}},General
I need help cancelling purchase {{Order Number}},General
how to cancel purchase {{Order Number}}?,General
i bought somegoddamn item how do i cancel order {{Order Number}},General
"I bought some product, I want to cancel order {{Order Number}}",General
need assistance with canceling order {{Order Number}},General
i do not knwo how to cancel order {{Order Number}},General
"I have to cancel purchase {{Order Number}}, can I get some help?",General
is it possible to cancel purchase {{Order Number}}?,General
help cancelling order {{Order Number}},General
cancel order {{Order Number}},General
icannot afford order {{Order Number}} could i cancel it,General
need help cancelling purchase {{Order Number}},General
what do I need to do to cancel purchase {{Order Number}}?,General
i cannot pay for puchase {{Order Number}} how could i cancel it,General
I want help cancellkng purchase {{Order Number}},General
i need help with cancelling order {{Order Number}},General
I need help with cancelling order {{Order Number}},General
how can I cancel order {{Order Number}}?,General
I need assistance cancelling purchase {{Order Number}},General
i want assistance tocancel order {{Order Number}},General
"I purchased some articles, cancel order {{Order Number}}",General
i nee help to cancel order {{Order Number}},General
problem with cancelling order {{Order Number}},General
I don't know what to do to cancel order {{Order Number}},General
"I don't want this article, cancel order {{Order Number}}",General
I need help with canceling order {{Order Number}},General
want assistance cancelling order {{Order Number}},General
I need assistance cancelling purchase {{Order Number}},General
can uhelp me cancelliung order {{Order Number}},General
canceling order {{Order Number}},General
cancel order {{Order Number}},General
I can no longer pay for purchase {{Order Number}},General
canceling order {{Order Number}},General
can you help me to cancel purchase {{Order Number}}?,General
I need assistance cancelling purchase {{Order Number}},General
problems with cnceling purchase {{Order Number}},General
where could I cancel purchase {{Order Number}}?,General
canmcel order {{Order Number}},General
I want assistance cancelling purchase {{Order Number}},General
I do not know how to cancel purchase {{Order Number}},General
I would like to cancel purchase {{Order Number}},General
I do not know how to cancel order {{Order Number}},General
problems with cancelling order {{Order Number}},General
I need help with cancelling purchase {{Order Number}},General
i dont know how to cancel purchase {{Order Number}},General
help to cancel purchase {{Order Number}},General
i purchased something how to cancel order {{Order Number}},General
want asistance canceling order {{Order Number}},General
question about cancelling purchase {{Order Number}},General
is it possible to cancel order {{Order Number}},General
i cant afford order {{Order Number}},General
"I can no longer afford purchase {{Order Number}}, cancel it",General
I don't want purchase {{Order Number}},General
I have problems with canceling purchase {{Order Number}},General
i dont want order {{Order Number}},General
i want assistance canceling purchase {{Order Number}},General
i dont know how to cancel purchase {{Order Number}},General
is it possible to cancel order {{Order Number}}?,General
i do not know how to cancel order {{Order Number}},General
assistance to cancel purchase {{Order Number}},General
I need help with canceling order {{Order Number}},General
I have a question about canceling purchase {{Order Number}},General
"I ordered some products, how to cancel purchase {{Order Number}}?",General
"I can't afford order {{Order Number}}, how can I cancel it?",General
I do not want purchase {{Order Number}},General
i can no longer pay for order {{Order Number}},General
I do not know how to cancel purchase {{Order Number}},General
"I bought some item, cancel order {{Order Number}}",General
want assistance cancelling purchase {{Order Number}},General
i cannot pay for my last item cancel order {{Order Number}},General
I have to cancel order {{Order Number}},General
I need help with canceling order {{Order Number}},General
can uhelp me canceling order {{Order Number}},General
I don't know what to do to cancel purchase {{Order Number}},General
is it possible to cancel order {{Order Number}} ?,General
I have a problem with canceling purchase {{Order Number}},General
i dont knwo how i can cancel purchase {{Order Number}},General
I need assistance with canceling purchase {{Order Number}},General
assistance with cancelling purchase {{Order Number}},General
i do not know what to do to cancel purchase {{Order Number}},General
I can no longer pay for purchase {{Order Number}},General
I need help cancelling order {{Order Number}},General
can you help me cancel purchase {{Order Number}}?,General
I do not know how to cancel purchase {{Order Number}},General
"I can't afford order {{Order Number}}, I need help to cancel it",General
assistance with canceling purchase {{Order Number}},General
need help cancelling purchase {{Order Number}},General
need help with canceling order {{Order Number}},General
i want assistance canceling order {{Order Number}},General
want help to cancel order {{Order Number}},General
"I purchased some items, cancel order {{Order Number}}",General
camceling order {{Order Number}},General
how can I cancel purchase {{Order Number}}?,General
where can I cancel purchase {{Order Number}}?,General
where culd i cancel order {{Order Number}},General
help with cancelling order {{Order Number}},General
I can't afford order {{Order Number}},General
help me cancel purchase {{Order Number}},General
I dp not know how to cancel order {{Order Number}},General
i can no longer arford purchase {{Order Number}},General
assistance to cancel purchased {{Order Number}},General
help  with cancelling order {{Order Number}},General
want assistance to cancel order {{Order Number}},General
question about canceling a bloody purchase,General
iwant assistance canceling order {{Order Number}},General
want help canceling purchase {{Order Number}},General
i dont know how i can cancel order {{Order Number}},General
"I purchased some items, help me cancel order {{Order Number}}",General
I want assistance cancelling purchase {{Order Number}},General
help with canceling purchase {{Order Number}},General
problems with canceling purchase {{Order Number}},General
I want assistance canceling purchase {{Order Number}},General
I need help cancelnig purchase {{Order Number}},General
i want assistance to cancel order {{Order Number}},General
is it possible to cancel purchase {{Order Number}}?,General
assistance canceling order {{Order Number}},General
I need assistance to cancel purchase {{Order Number}},General
I am trying to cancel purchase {{Order Number}},General
I nee assistance to cancel purchase {{Order Number}},General
help cancelling purchase {{Order Number}},General
I want assistance canceling purchase {{Order Number}},General
can you help me to cancel purchase {{Order Number}}?,General
need assistance witgh cancelling order {{Order Number}},General
can you help me cancelling purchase {{Order Number}}?,General
want assistance to cancel order  {{Order Number}},General
I want help cancelling purchase {{Order Number}},General
problem with cancelling purchase {{Order Number}},General
"I bought some item, cancel purchase {{Order Number}}",General
I don't know how I can cancel purchase {{Order Number}},General
how do i cancel purchase {{Order Number}},General
I want help canceling purchase {{Order Number}},General
I need assistance with canceling order {{Order Number}},General
i need help cancelling purchase {{Order Number}},General
how can i cancel purchase {{Order Number}},General
I need assistance canceling purchase {{Order Number}},General
i want assistance to cancel order {{Order Number}},General
i dont know how to cancel order {{Order Number}},General
what do I have to do to cancel purchase {{Order Number}}?,General
how do I cancel purchae {{Order Number}}?,General
I can't afford order {{Order Number}},General
I don't know how I could cancel purchase {{Order Number}},General
I have a problem with cancelling order {{Order Number}},General
I want help canceling purchase {{Order Number}},General
help to cancel order {{Order Number}},General
problem with cancelling purchase {{Order Number}},General
I want assistance canceling order {{Order Number}},General
I can't afford purchase {{Order Number}},General
camceling order {{Order Number}},General
"I bought some articles, how to cancel order {{Order Number}}?",General
i do not want purchase {{Order Number}},General
problem with cancelling purchase {{Order Number}},General
I need assistance cancelling order {{Order Number}},General
help me to cancel purchase {{Order Number}},General
I don't know how I can camcel purchase {{Order Number}},General
could uhelp me cancelin order {{Order Number}},General
i need help cancelling purchase {{Order Number}},General
I want help to cancel order {{Order Number}},General
i want assistance to cancel purchase {{Order Number}},General
what do I have to do to cancel purchase {{Order Number}}?,General
cancel purchase  {{Order Number}},General
I am trying to cancel order {{Order Number}},General
i do not know how i can canmcel order {{Order Number}},General
help me cancelling purchase {{Order Number}},General
have problems with canceling purchase {{Order Number}},General
i dont want order {{Order Number}},General
i need assistance canceling roder {{Order Number}},General
can uhelp me canceling purchase {{Order Number}},General
cancelling order {{Order Number}},General
can you help me canceling order {{Order Number}}?,General
"I can't afford this item, I try to cancel order {{Order Number}}",General
i dont know how i can cancel purchase {{Order Number}},General
I can't pay  for order {{Order Number}},General
I have a problem with cancelling purchase {{Order Number}},General
I have a question about canceling order {{Order Number}},General
i need help with cancelling purchase {{Order Number}},General
help me canceling purchase {{Order Number}},General
i dont know how to cncel purchase {{Order Number}},General
can you help me to cancel purchase {{Order Number}}?,General
i want assistance to cancel purchase {{Order Number}},General
have a problem with canceling order {{Order Number}},General
assistance canceling purchase {{Order Number}},General
can ya help me cancel purchase {{Order Number}},General
i need assistance to cancel purchase {{Order Number}},General
i dont want purchase {{Order Number}},General
I don't want order {{Order Number}},General
question about canceling purchase {{Order Number}},General
"I purchased some product, cancel order {{Order Number}}",General
help canceling purchase {{Order Number}},General
have a question abut canceling purchase {{Order Number}},General
I can't pay for purchase {{Order Number}},General
problems with cancelling purchase {{Order Number}},General
I have to cancel purchase {{Order Number}},General
where do I cancel purchase {{Order Number}}?,General
what do i have to do to cancel purchase {{Order Number}},General
I don't know how to cancel purchase {{Order Number}},General
where to cancel purchase {{Order Number}}?,General
problem with cancelig order {{Order Number}},General
problem with canceling purchase {{Order Number}},General
I need help with canceling purchase {{Order Number}},General
problems with canceling purchase {{Order Number}},General
I'm rtying to cancel order {{Order Number}},General
I need help with cancelling purhase {{Order Number}},General
"I do not want the item I purchased, can I cancel the order?",General
how could I cancel purchase {{Order Number}}?,General
I need help cancelling purchase {{Order Number}},General
i need help with cancelling order {{Order Number}},General
i want assistance tocancel order {{Order Number}},General
problem with canceling purchase {{Order Number}},General
I want help canceling purchase {{Order Number}},General
i need help with cancelliung order {{Order Number}},General
"I bought some items, cancel order {{Order Number}}",General
I need help cancelling order {{Order Number}},General
"I bought something, help me cancel purchasae {{Order Number}}",General
how to cancel the purchase i made,General
i need assistance to cancel order {{Order Number}},General
i want help to cancel order {{Order Number}},General
question about cancelling purchase {{Order Number}},General
need help canceling purchase {{Order Number}},General
